person_id,nombre,url,familia,pais,pais_origen,fecha_nacimiento,lugar_nacimiento,fecha_fallecimiento,lugar_fallecimiento,nacionalidad,ocupacion,partido_politico,religion,residencia,padres,conyuge,pareja,hijos,hermanos,biografia_inicial,cargos,n_cargos,familiares,n_familiares,tipos_relacion,conexion_otros_paises,ano_nacimiento,ano_fallecimiento,cargo_1,cargo_2,cargo_3,partido_limpio,nacimiento_ano,fallecimiento_ano
jos_e_mar_ia_zuvir_ia,José María Zuviría,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Zuvir%C3%ADa,Familia Zuviría,argentina,argentina,1830 Salta ( Provincias Unidas del Río de la Plata ),NA,9 de noviembre de 1891 o 1891 Buenos Aires ( Argentina ),NA,Argentina,"Abogado , político , escritor y magistrado",NA,NA,NA,NA,NA,NA,NA,NA,"José María Zuviría ( Salta , 1830- Buenos Aires , 9 de noviembre de 1891) fue un abogado y político argentino . Fue diputado por la provincia de Catamarca en la primera legislatura del Congreso de la Confederación Argentina en 1854.",NA,NA,NA,NA,NA,mismo_pais,1830,1891,Diputado,NA,NA,NA,1830,1891
jos_e_ignacio_de_gorriti,José Ignacio de Gorriti,https://es.wikipedia.org/wiki/Jos%C3%A9_Ignacio_Gorriti,Familia Zuviría,argentina,argentina,"30 de julio de 1770 San Salvador de Jujuy , Gobernación del Tucumán , Virreinato del Perú",NA,"10 de noviembre de 1835 (65 años) La Plata , Chuquisaca , Bolivia",NA,Argentina,Militar,Unitario,NA,NA,NA,Feliciana Zuviría,NA,Juana Manuela Gorriti (https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti),NA,"José Ignacio de Gorriti , nacido como José Francisco Ignacio de Gorriti ( San Salvador de Jujuy , 30 de julio de 1770 - Chuquisaca , 10 de noviembre de 1835) fue un abogado , militar y político argentino , que se destacó por su ayuda y acción en la Guerra de Independencia de la Argentina . Fue reiteradas veces gobernador de la provincia de Salta y representó a esta provincia como diputado en el Congreso de Tucumán de 1816.",NA,NA,NA,NA,NA,mismo_pais,1770,1835,Gobernador de Salta,Diputado en el Congreso de Tucumán,NA,Unitario,1770,1835
manuel_isidoro_belzu,Manuel Isidoro Belzu,https://es.wikipedia.org/wiki/Manuel_Isidoro_Belzu,Familia Zuviría,argentina,argentina,"14 de abril de 1808 La Paz , Virreinato del Río de la Plata , Imperio español",NA,Herida por arma de fuego,NA,Española (hasta 1823) Boliviana (desde 1825),Militar y político,Partido Popular,NA,NA,Gaspar Belzu Manuela Humérez,Juana Manuela Gorriti (https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti),NA,Mercedes Belzú Gorriti (https://es.wikipedia.org/wiki/Mercedes_Belz%C3%BA_Gorriti),NA,"Manuel Isidoro Belzu Humérez ( La Paz , Imperio español ; 4 de abril de 1808 - La Paz, Bolivia ; 23 de marzo de 1865) fue un militar y político boliviano . Ocupó la presidencia de Bolivia desde el 6 de diciembre de 1848 hasta el 15 de agosto de 1855.",NA,NA,NA,NA,NA,nacionalidad_distinta_al_pais,1808,NA,Presidente de Bolivia,Militar,NA,Partido Popular,1808,1865
mercedes_belzu,Mercedes Belzu,https://es.wikipedia.org/wiki/Mercedes_Belz%C3%BA_de_Dorado,Familia Zuviría,argentina,argentina,1835 La Paz ( Bolivia ),NA,1880,NA,Boliviana,"Escritora , poetisa y traductora",NA,NA,Arequipa,Manuel Isidoro Belzu (https://es.wikipedia.org/wiki/Manuel_Isidoro_Belzu); Juana Manuela Gorriti (https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti),NA,NA,NA,NA,"Mercedes Belzu Gorriti ( La Paz , República de Bolivia 1835 - Arequipa , República del Perú , 1879) fue una escritora , poetisa y traductora boliviana .",NA,NA,NA,NA,NA,nacionalidad_distinta_al_pais,1835,1880,NA,NA,NA,NA,1835,1880
jorge_mart_inez_zuvir_ia,Jorge Martínez Zuviría,https://es.wikipedia.org/wiki/Jorge_Miguel_Mart%C3%ADnez_Zuvir%C3%ADa,Familia Zuviría,argentina,argentina,18 de agosto de 1920 Santa Fe ( Argentina ),NA,23 de julio de 2001 (80 años) Buenos Aires (Argentina),NA,Argentina,Oficial militar,NA,NA,NA,NA,NA,NA,NA,NA,"Jorge Miguel Martínez Zuviría ( Santa Fe , 18 de agosto de 1920- Buenos Aires , 23 de julio de 2001) [ 1 ] ​ fue un aviador militar argentino perteneciente a la Fuerza Aérea Argentina . Alcanzó la máxima jerarquía del escalafón aeronáutico y se desempeñó titular de dicha fuerza armada desde el 28 de agosto de 1968 hasta el 12 de marzo de 1970. [ 2 ] ​",NA,NA,NA,NA,NA,mismo_pais,1920,2001,Titular de la Fuerza Aérea Argentina,NA,NA,NA,1920,2001
mercedes_belzu,Mercedes Belzu,https://es.wikipedia.org/wiki/Mercedes_Belz%C3%BA_Gorriti,Familia Zuviría,argentina,argentina,1835 La Paz ( Bolivia ),NA,1880,NA,Boliviana,"Escritora , poetisa y traductora",NA,NA,Arequipa,Manuel Isidoro Belzu (https://es.wikipedia.org/wiki/Manuel_Isidoro_Belzu); Juana Manuela Gorriti (https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti),NA,NA,NA,NA,"Mercedes Belzu Gorriti ( La Paz , República de Bolivia 1835 - Arequipa , República del Perú , 1879) fue una escritora , poetisa y traductora boliviana .",NA,NA,NA,NA,NA,nacionalidad_distinta_al_pais,1835,1880,NA,NA,NA,NA,1835,1880
colecci_on_de_arte_amalia_lacroze_de_fortabat,Colección de Arte Amalia Lacroze de Fortabat,https://es.wikipedia.org/wiki/Colecci%C3%B3n_de_Arte_Amalia_Lacroze_de_Fortabat,Familia Fortabat,argentina,argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alfredo_fortabat,Alfredo Fortabat,https://es.wikipedia.org/wiki/Alfredo_Fortabat,Familia Fortabat,argentina,argentina,"13 de mayo de 1894 Azul , Argentina",NA,"10 de enero de 1976 (81 años) Buenos Aires , Argentina",NA,Argentino,Empresario,NA,NA,NA,Elena Pourtalé Luciano Fortabat,Amalia Lacroze (https://es.wikipedia.org/wiki/Amalia_Lacroze_de_Fortabat),NA,NA,NA,"Alfredo Fortabat ( Azul , Buenos Aires ; 13 de mayo de 1894 - Buenos Aires ; 10 de enero de 1976) fue un empresario argentino , fundador de la compañía cementera Loma Negra C.I.A.S.A. [ 1 ] ​",NA,NA,NA,NA,NA,nacionalidad_distinta_al_pais,1894,1976,Fundador de Loma Negra,NA,NA,NA,1894,1976
amalia_lacroze_de_fortabat,Amalia Lacroze de Fortabat,https://es.wikipedia.org/wiki/Amalia_Lacroze_de_Fortabat,Familia Fortabat,argentina,argentina,15 de agosto de 1921 Buenos Aires ( Argentina ),NA,18 de febrero de 2012 (90 años) Buenos Aires (Argentina),NA,Argentina,"Empresaria , coleccionista",NA,NA,Nueva York,Amalia Reyes Oribe Alberto Daniel Lacroze Gowland,Alfredo Fortabat (https://es.wikipedia.org/wiki/Alfredo_Fortabat),NA,María Inés de Lafuente (https://es.wikipedia.org/wiki/In%C3%A9s_Lafuente),NA,NA,NA,NA,NA,NA,NA,mismo_pais,1921,2012,NA,NA,NA,NA,1921,2012
in_es_lafuente,Inés Lafuente,https://es.wikipedia.org/wiki/In%C3%A9s_Lafuente,Familia Fortabat,argentina,argentina,"14 de abril de 1944 Buenos Aires , Argentina",NA,"11 de septiembre de 2015 (71 años) Buenos Aires , Argentina",NA,Argentina,"Empresaria , filántropa",NA,NA,NA,María Amalia Sara Lacroze Reyes (https://es.wikipedia.org/wiki/Amalia_Lacroze_de_Fortabat),Julio Aurelio Amoedo (https://es.wikipedia.org/wiki/Julio_Aurelio_Amoedo),NA,Amalia Amoedo (https://es.wikipedia.org/wiki/Amalia_Amoedo),NA,"María Inés de Lafuente ( Buenos Aires , 14 de abril de 1944- Buenos Aires , 11 de septiembre de 2015) fue una empresaria y mecenas argentina, hija de Amalita Fortabat , quien fuera mujer del industrial Alfredo Fortabat .",NA,NA,NA,NA,NA,mismo_pais,1944,2015,NA,NA,NA,NA,1944,2015
loma_negra,Loma Negra,https://es.wikipedia.org/wiki/Loma_Negra,Familia Fortabat,argentina,argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
julio_aurelio_amoedo,Julio Aurelio Amoedo,https://es.wikipedia.org/wiki/Julio_Aurelio_Amoedo,Familia Fortabat,argentina,argentina,"24 de mayo de 1915 Buenos Aires , Argentina",NA,"8 de julio de 1996 (82 años) Buenos Aires , Argentina",NA,Argentina,Político,Partido Demócrata Nacional Partido Conservador Popular,NA,NA,Aurelio Amoedo (https://es.wikipedia.org/wiki/Aurelio_Amoedo),Inés Lafuente (https://es.wikipedia.org/wiki/In%C3%A9s_Lafuente),NA,NA,NA,"Julio Aurelio Amoedo ( Buenos Aires , 24 de mayo de 1915 - 8 de julio de 1996) fue un dirigente político argentino vinculado al peronismo . Miembro del Partido Conservador Popular , ocupó una banca en el Senado de la Nación , por la Provincia de Catamarca desde 1983 a 1992. [ 1 ] ​",NA,NA,NA,NA,NA,mismo_pais,1915,1996,Senador,NA,NA,Partido Conservador Popular,1915,1996
amalia_amoedo,Amalia Amoedo,https://es.wikipedia.org/wiki/Amalia_Amoedo,Familia Fortabat,argentina,argentina,"30 de diciembre de 1976 (49 años) Buenos Aires , Argentina",NA,NA,NA,Argentina,"Filántropa, coleccionista de arte, artista visual",NA,NA,NA,Inés Lafuente (https://es.wikipedia.org/wiki/In%C3%A9s_Lafuente); Julio Amoedo (https://es.wikipedia.org/wiki/Julio_Amoedo),NA,NA,NA,NA,"Amalia Adriana Amoedo (Buenos Aires, 30 de diciembre de 1976) [ 1 ] ​es una filántropa, coleccionista de arte y artista visual argentina. Es fundadora y presidenta de la Fundación Ama Amoedo , organización sin fines de lucro dedicada a la promoción de las artes visuales en América Latina.",NA,NA,NA,NA,NA,mismo_pais,1976,NA,Presidenta de la Fundación Ama Amoedo,NA,NA,NA,1976,NA
aurelio_amoedo,Aurelio Amoedo,https://es.wikipedia.org/wiki/Aurelio_Amoedo,Familia Fortabat,argentina,argentina,27 de agosto de 1882 Buenos Aires ( Argentina ),NA,6 de abril de 1951 (68 años),NA,Argentina,abogado,Partido Demócrata Nacional,NA,NA,NA,Filomena Ginistri,NA,Julio Aurelio Amoedo (https://es.wikipedia.org/wiki/Julio_Aurelio_Amoedo),NA,"Aurelio F. Amoedo ( Marcos Paz (Buenos Aires) 27 de agosto de 1882 - Buenos Aires , 6 de abril de 1951) fue un político argentino , vicegobernador de la provincia de Buenos Aires entre 1936 y 1940. [ 1 ] ​",NA,NA,NA,NA,NA,mismo_pais,1882,1951,Vicegobernador de Buenos Aires,NA,NA,Partido Demócrata Nacional,1882,1951
julio_aurelio_amoedo,Julio Aurelio Amoedo,https://es.wikipedia.org/wiki/Julio_Amoedo,Familia Fortabat,argentina,argentina,"24 de mayo de 1915 Buenos Aires , Argentina",NA,"8 de julio de 1996 (82 años) Buenos Aires , Argentina",NA,Argentina,Político,Partido Demócrata Nacional Partido Conservador Popular,NA,NA,Aurelio Amoedo (https://es.wikipedia.org/wiki/Aurelio_Amoedo),Inés Lafuente (https://es.wikipedia.org/wiki/In%C3%A9s_Lafuente),NA,NA,NA,"Julio Aurelio Amoedo ( Buenos Aires , 24 de mayo de 1915 - 8 de julio de 1996) fue un dirigente político argentino vinculado al peronismo . Miembro del Partido Conservador Popular , ocupó una banca en el Senado de la Nación , por la Provincia de Catamarca desde 1983 a 1992. [ 1 ] ​",NA,NA,NA,NA,NA,mismo_pais,1915,1996,Senador,NA,NA,Partido Conservador Popular,1915,1996
ana_mar_ia_salvadora_de_ot_alora_y_ribero,Ana María Salvadora de Otálora y Ribero,https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Salvadora_de_Ot%C3%A1lora_y_Ribero,Familia Otálora,argentina,argentina,"Abril de 1762 Buenos Aires , Gobernación del Río de la Plata , Imperio Español",NA,"1857 Zárate , Provincia de Buenos Aires , Confederación Argentina",NA,Argentina,NA,NA,NA,NA,José Antonio Gregorio de Otálora (https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Gregorio_de_Ot%C3%A1lora),Benito González Ribadavia (https://es.wikipedia.org/wiki/Benito_Gonz%C3%A1lez_Ribadavia),NA,NA,NA,"Ana María Salvadora Otálora del Ribero , hija de una de las familias más prominentes del Buenos Aires español, fue la segunda esposa de Benito González Ribadavia , padre de Santiago y Bernardino Rivadavia .",NA,NA,NA,NA,NA,mismo_pais,1762,1857,NA,NA,NA,NA,1762,1857
felipe_santiago_ignacio_de_ot_alora_y_del_ribero,Felipe Santiago Ignacio de Otálora y del Ribero,https://es.wikipedia.org/wiki/Felipe_Santiago_Ignacio_de_Ot%C3%A1lora_y_del_Ribero,Familia Otálora,argentina,argentina,"Abril de 1770 Buenos Aires , Gobernación del Río de la Plata , Imperio Español",NA,"19 de julio de 1818 Buenos Aires , Provincias Unidas del Río de la Plata",NA,Argentina,Hacendado,NA,NA,NA,José Antonio Gregorio de Otálora (https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Gregorio_de_Ot%C3%A1lora),Mercedes Soler y Otálora,NA,Felipe Lucas,NA,Felipe Santiago Ignacio de Otálora y del Ribero fue un importante hacendado de la provincia de Buenos Aires en los últimos años del Virreinato y los primeros de las Provincias Unidas del Río de la Plata .,NA,NA,NA,NA,NA,mismo_pais,1770,1818,Hacendado,NA,NA,NA,1770,1818
jos_e_antonio_gregorio_de_ot_alora,José Antonio Gregorio de Otálora,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Gregorio_de_Ot%C3%A1lora,Familia Otálora,argentina,argentina,"Mayo de 1732 ciudad de Buenos Aires , Gobernación del Río de la Plata , Imperio Español",NA,20 de noviembre de 1815 Buenos Aires,NA,Argentina,"Funcionario , militar , comerciante y hacendado",NA,NA,NA,Juan Gregorio de Otálora y Juana María de Larrazábal y Avellaneda,Josefa del Ribero y Cossio,NA,Ana María (https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Salvadora_de_Ot%C3%A1lora_y_Ribero); José Antonio Gregorio Eustaquio (https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Gregorio_Eustaquio_de_Ot%C3%A1lora_y_Ribero); Felipe (https://es.wikipedia.org/wiki/Felipe_Santiago_Ignacio_de_Ot%C3%A1lora_y_del_Ribero); María Saturnina Bárbara de Otálora y Ribero (https://es.wikipedia.org/wiki/Mar%C3%ADa_Saturnina_B%C3%A1rbara_de_Ot%C3%A1lora_y_Ribero),NA,"José Antonio Gregorio de Otálora ( Buenos Aires , Gobernación del Río de la Plata , Imperio Español , mayo de 1732- Buenos Aires , 20 de noviembre de 1815) fue funcionario , militar , y uno de los más ricos e influyentes comerciantes y hacendados de Buenos Aires de la última mitad del siglo XVIII y comienzos del siguiente.",NA,NA,NA,NA,NA,mismo_pais,1732,1815,Funcionario,Militar,NA,NA,1732,1815
jos_e_antonio_gregorio_eustaquio_de_ot_alora_y_del_ribero,José Antonio Gregorio Eustaquio de Otálora y del Ribero,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Gregorio_Eustaquio_de_Ot%C3%A1lora_y_del_Ribero,Familia Otálora,argentina,argentina,"Septiembre de 1767 Buenos Aires , Gobernación del Río de la Plata , Imperio Español",NA,Siglo XIX,NA,Argentina,hacendado y militar,NA,NA,NA,José Antonio Gregorio de Otálora (https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Gregorio_de_Ot%C3%A1lora),Josefa Leonarda de Aoiz y Larrazábal,NA,NA,NA,José Antonio Gregorio Eustaquio de Otálora y del Ribero fue un militar e importante hacendado de la provincia de Buenos Aires en los primeros años de las Provincias Unidas del Río de la Plata .,NA,NA,NA,NA,NA,mismo_pais,1767,NA,Militar,Hacendado,NA,NA,1767,NA
