frame_year,era,n_nodes,n_edges,n_uni,n_pos,n_kin,n_mar,share_global,share_flagship,mean_prestige,n_political,n_economic,n_cultural,x,y,prest_lab,label_hud
1900,Oligarchic-republican (1900),263,366,96,58,180,32,0.2737642585551331,0.3193916349809886,0.8986311787072243,142,77,44,-20.554659247433058,17.85573548065062,0.90,"Oligarchic-republican (1900)
Active: 263 actors | 366 cumulative edges
By tie: shared university 96 | shared position 58 | kinship 180 | marriage 32
Global (US/UK) circuit: 27.4% | national flagship: 31.9% | mean prestige: 0.90"
1905,Oligarchic-republican (1905),269,383,102,60,188,33,0.2825278810408922,0.3159851301115242,0.8998884758364312,146,79,44,-20.554659247433058,17.85573548065062,0.90,"Oligarchic-republican (1905)
Active: 269 actors | 383 cumulative edges
By tie: shared university 102 | shared position 60 | kinship 188 | marriage 33
Global (US/UK) circuit: 28.3% | national flagship: 31.6% | mean prestige: 0.90"
1910,Oligarchic-republican (1910),279,417,112,62,207,36,0.2831541218637993,0.3154121863799283,0.9006810035842294,151,81,47,-20.554659247433058,17.85573548065062,0.90,"Oligarchic-republican (1910)
Active: 279 actors | 417 cumulative edges
By tie: shared university 112 | shared position 62 | kinship 207 | marriage 36
Global (US/UK) circuit: 28.3% | national flagship: 31.5% | mean prestige: 0.90"
1915,Oligarchic-republican (1915),295,480,133,65,242,40,0.27796610169491526,0.30847457627118646,0.9006440677966101,160,84,51,-20.554659247433058,17.85573548065062,0.90,"Oligarchic-republican (1915)
Active: 295 actors | 480 cumulative edges
By tie: shared university 133 | shared position 65 | kinship 242 | marriage 40
Global (US/UK) circuit: 27.8% | national flagship: 30.8% | mean prestige: 0.90"
1920,Oligarchic-republican (1920),311,532,145,71,271,45,0.28938906752411575,0.3022508038585209,0.9029260450160772,165,90,56,-20.554659247433058,17.85573548065062,0.90,"Oligarchic-republican (1920)
Active: 311 actors | 532 cumulative edges
By tie: shared university 145 | shared position 71 | kinship 271 | marriage 45
Global (US/UK) circuit: 28.9% | national flagship: 30.2% | mean prestige: 0.90"
1925,Oligarchic-republican (1925),324,582,159,76,294,53,0.2993827160493827,0.2962962962962963,0.904753086419753,171,94,59,-20.554659247433058,17.85573548065062,0.90,"Oligarchic-republican (1925)
Active: 324 actors | 582 cumulative edges
By tie: shared university 159 | shared position 76 | kinship 294 | marriage 53
Global (US/UK) circuit: 29.9% | national flagship: 29.6% | mean prestige: 0.90"
1930,Developmentalist (1930),338,624,174,81,309,60,0.30177514792899407,0.29289940828402367,0.9057692307692308,179,95,64,-20.554659247433058,17.85573548065062,0.91,"Developmentalist (1930)
Active: 338 actors | 624 cumulative edges
By tie: shared university 174 | shared position 81 | kinship 309 | marriage 60
Global (US/UK) circuit: 30.2% | national flagship: 29.3% | mean prestige: 0.91"
1935,Developmentalist (1935),351,679,190,88,335,66,0.29914529914529914,0.29914529914529914,0.9052991452991452,185,98,68,-20.554659247433058,17.85573548065062,0.91,"Developmentalist (1935)
Active: 351 actors | 679 cumulative edges
By tie: shared university 190 | shared position 88 | kinship 335 | marriage 66
Global (US/UK) circuit: 29.9% | national flagship: 29.9% | mean prestige: 0.91"
1940,Developmentalist (1940),359,709,202,91,348,68,0.29526462395543174,0.3008356545961003,0.9049860724233983,186,100,73,-20.554659247433058,17.85573548065062,0.90,"Developmentalist (1940)
Active: 359 actors | 709 cumulative edges
By tie: shared university 202 | shared position 91 | kinship 348 | marriage 68
Global (US/UK) circuit: 29.5% | national flagship: 30.1% | mean prestige: 0.90"
1945,Developmentalist (1945),379,793,224,100,391,78,0.29815303430079154,0.3007915567282322,0.905065963060686,193,107,79,-20.554659247433058,17.85573548065062,0.91,"Developmentalist (1945)
Active: 379 actors | 793 cumulative edges
By tie: shared university 224 | shared position 100 | kinship 391 | marriage 78
Global (US/UK) circuit: 29.8% | national flagship: 30.1% | mean prestige: 0.91"
1950,Developmentalist (1950),395,856,244,105,424,83,0.3012658227848101,0.30632911392405066,0.9054683544303798,200,112,83,-20.554659247433058,17.85573548065062,0.91,"Developmentalist (1950)
Active: 395 actors | 856 cumulative edges
By tie: shared university 244 | shared position 105 | kinship 424 | marriage 83
Global (US/UK) circuit: 30.1% | national flagship: 30.6% | mean prestige: 0.91"
1955,Developmentalist (1955),410,923,266,115,453,89,0.3048780487804878,0.3097560975609756,0.9055121951219512,204,120,86,-20.554659247433058,17.85573548065062,0.91,"Developmentalist (1955)
Active: 410 actors | 923 cumulative edges
By tie: shared university 266 | shared position 115 | kinship 453 | marriage 89
Global (US/UK) circuit: 30.5% | national flagship: 31.0% | mean prestige: 0.91"
1960,Developmentalist (1960),422,979,279,130,475,95,0.3104265402843602,0.3104265402843602,0.9058767772511849,207,128,87,-20.554659247433058,17.85573548065062,0.91,"Developmentalist (1960)
Active: 422 actors | 979 cumulative edges
By tie: shared university 279 | shared position 130 | kinship 475 | marriage 95
Global (US/UK) circuit: 31.0% | national flagship: 31.0% | mean prestige: 0.91"
1965,Developmentalist (1965),441,1073,309,137,526,101,0.31746031746031744,0.31065759637188206,0.9068707482993197,216,132,93,-20.554659247433058,17.85573548065062,0.91,"Developmentalist (1965)
Active: 441 actors | 1073 cumulative edges
By tie: shared university 309 | shared position 137 | kinship 526 | marriage 101
Global (US/UK) circuit: 31.7% | national flagship: 31.1% | mean prestige: 0.91"
1970,Developmentalist (1970),459,1157,331,143,574,109,0.32679738562091504,0.3028322440087146,0.9079302832244008,222,138,99,-20.554659247433058,17.85573548065062,0.91,"Developmentalist (1970)
Active: 459 actors | 1157 cumulative edges
By tie: shared university 331 | shared position 143 | kinship 574 | marriage 109
Global (US/UK) circuit: 32.7% | national flagship: 30.3% | mean prestige: 0.91"
1975,Developmentalist (1975),469,1218,353,153,600,112,0.326226012793177,0.3049040511727079,0.9076972281449893,226,142,101,-20.554659247433058,17.85573548065062,0.91,"Developmentalist (1975)
Active: 469 actors | 1218 cumulative edges
By tie: shared university 353 | shared position 153 | kinship 600 | marriage 112
Global (US/UK) circuit: 32.6% | national flagship: 30.5% | mean prestige: 0.91"
1980,Neoliberal-democratic (1980),480,1274,360,160,635,119,0.325,0.30833333333333335,0.9069166666666667,229,148,103,-20.554659247433058,17.85573548065062,0.91,"Neoliberal-democratic (1980)
Active: 480 actors | 1274 cumulative edges
By tie: shared university 360 | shared position 160 | kinship 635 | marriage 119
Global (US/UK) circuit: 32.5% | national flagship: 30.8% | mean prestige: 0.91"
