variable,nivel,dataset_fuente,tipo,rol,estado,descripcion
vinculo_transnacional_pareja_evidencia,persona,future_llm_labels,json,proyeccion,faltante,Fragmentos de evidencia para el vinculo transnacional de pareja.
alertas_calidad,persona,future_llm_labels,json,proyeccion,faltante,"Alertas sobre ambiguedad, mezcla de roles o informacion insuficiente."
nacimiento_ano,persona,gpt_enriched,integer,temporalidad,parcial,Ano de nacimiento ya enriquecido para parte de los casos.
fallecimiento_ano,persona,gpt_enriched,integer,temporalidad,parcial,Ano de fallecimiento ya enriquecido para parte de los casos.
hijos_lista,persona,gpt_enriched,string,red_familiar,parcial,Lista linealizada de hijos identificados por GPT.
conexion_otros_paises,persona,gpt_enriched,string,imputacion_pais,parcial,Resumen textual de conexiones transfronterizas detectadas.
redes_dentro_pais,persona,gpt_enriched,string,intra_elite,parcial,Resumen textual de vinculos con otras elites del mismo pais.
redes_entre_paises,persona,gpt_enriched,string,inter_paises,parcial,Resumen textual de vinculos con elites de otros paises.
pais_nacimiento,persona,future_country_imputation,string,imputacion_pais,faltante,Pais extraido desde lugar_nacimiento.
pais_muerte,persona,future_country_imputation,string,imputacion_pais,faltante,Pais extraido desde lugar_fallecimiento.
pais_residencia,persona,future_country_imputation,string,imputacion_pais,faltante,Pais extraido desde residencia.
pais_nacionalidad,persona,future_country_imputation,string,imputacion_pais,faltante,Pais derivado de nacionalidad declarada.
pais_cargo,persona,future_country_imputation,string,imputacion_pais,faltante,Pais inferido a partir del cargo principal o bloque de cargo.
pais_pareja,persona,future_country_imputation,string,imputacion_pais,faltante,Pais inferido desde pareja o conyuge cuando conecta explicitamente con otro pais.
pais_padres,persona,future_country_imputation,string,imputacion_pais,faltante,Pais inferido desde padres o linaje ascendente.
pais_hijos,persona,future_country_imputation,string,imputacion_pais,faltante,Pais inferido desde descendencia o continuidad familiar.
pais_hermanos,persona,future_country_imputation,string,imputacion_pais,faltante,Pais inferido desde hermanos o red colateral.
pais_infobox,persona,future_country_imputation,string,imputacion_pais,faltante,Pais extraido de campos estructurados en infobox.
pais_biografia,persona,future_country_imputation,string,imputacion_pais,faltante,Pais inferido desde menciones explicitas en la biografia.
pais_imputado,persona,future_country_imputation,string,imputacion_pais,faltante,Pais final imputado combinando multiples senales.
confianza_imputacion_pais,persona,future_country_imputation,double,imputacion_pais,faltante,Confianza global de la imputacion final.
razon_imputacion_pais,persona,future_country_imputation,string,imputacion_pais,faltante,"Motivo principal de la imputacion: nacimiento, nacionalidad, cargo, pareja, muerte, residencia, linaje u otro."
evidencia_imputacion_pais,persona,future_country_imputation,json,imputacion_pais,faltante,Fragmentos textuales o campos concretos usados para justificar la imputacion.
fuente_imputacion_pais,persona,future_country_imputation,json,imputacion_pais,faltante,Campos fuente que respaldan la imputacion final.
score_union_paises,persona,future_country_imputation,double,inter_paises,faltante,Puntaje sintetico de capacidad del actor para unir paises.
n_conexiones_intra_elite,persona,future_country_imputation,integer,intra_elite,faltante,Numero de conexiones con elites del mismo pais.
n_conexiones_inter_paises,persona,future_country_imputation,integer,inter_paises,faltante,Numero de conexiones familiares o institucionales entre paises.
tipo_conexion_dominante,persona,future_country_imputation,string,inter_paises,faltante,"Tipo dominante de conexion transnacional: pareja, cargo, diplomacia, linaje, residencia o educacion."
